Action,Transaction Date,Time,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result of Sell,Currency (Result),Total (GBP),Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Notes,ID,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
Deposit,2020-04-30,17:20:49,,,,,,,,,1000.0,GBP,,,1000,GBP,,,,71c8854b-7580-427e-a533-e8fba79e6db1,,,,,,
Market buy,2020-04-30,17:21:18,PBCT,People's United Financial,50.0,12.76,USD,1.25847,,GBP,506.96,GBP,,,,,,,,EOF194834082,,,,,,
Deposit,2020-05-04,10:43:01,,,,,,,,,9.35,GBP,,,9.35,GBP,,,Free Shares Promotion,e115471e-f0f2-46a9-a510-78e0ab283f2e,,,,,,
Market buy,2020-05-04,10:43:01,NG,National Grid,1.0,929.8,GBX,100,,GBP,9.34,GBP,,,,,0.05,GBP,,EOF197523693,,,,,,
Market buy,2020-05-04,15:39:01,T,AT&T,15.0,29.34,USD,1.24252,,GBP,354.19,GBP,,,,,,,,EOF198326960,,,,,,
Deposit,2020-05-11,17:17:25,,,,,,,,,500.0,GBP,,,500,GBP,,,Transaction ID: 1855892174452842,f853c15b-de57-4843-bf7b-5e7f279539cb,,,,,,
Market buy,2020-05-11,17:17:53,META,Meta Platforms,2.5,213.32,USD,1.23427,,GBP,432.07,GBP,,,,,,,,EOF206854492,,,,,,
Deposit,2020-05-18,17:55:13,,,,,,,,,500.0,GBP,,,500,GBP,,,Transaction ID: 4725898245125699,5860d694-a7da-4834-85c9-0ce5d22052c5,,,,,,
Market buy,2020-05-18,17:55:24,WELL,Welltower,15.0,44.68,USD,1.2196,,GBP,549.51,GBP,,,,,,,,EOF216691130,,,,,,
Deposit,2020-05-28,20:23:35,,,,,,,,,1000.0,GBP,,,1000,GBP,,,Transaction ID: 4525906974155480,c0a3b932-ea94-4b36-bfd8-14ec7eb2d1f4,,,,,,
Market buy,2020-05-29,13:30:16,META,Meta Platforms,2.5,225.42,USD,1.23391,,GBP,456.71,GBP,,,,,,,,EOF232674244,,,,,,
Market buy,2020-05-29,13:30:22,EXPE,Expedia,8.0,78.6,USD,1.23403,,GBP,509.55,GBP,,,,,,,,EOF232680118,,,,,,
Deposit,2020-06-02,20:19:54,,,,,,,,,320.0,GBP,,,320,GBP,,,Transaction ID: 1825911291937415,0acbaafe-ded4-4d91-a8ca-36145c40133b,,,,,,
Market buy,2020-06-03,13:31:06,NET,Cloudflare,20.0,30.55,USD,1.25616,,GBP,486.4,GBP,,,,,,,,EOF238824613,,,,,,
Deposit,2020-06-04,23:42:38,,,,,,,,,520.0,GBP,,,520,GBP,,,Transaction ID: 1335913141589738,415d741f-1b97-4f93-8318-90af4fff254b,,,,,,
Market buy,2020-06-05,13:32:00,AVGO,Broadcom,2.0,320.0,USD,1.26977,,GBP,504.03,GBP,,,,,,,,EOF244503313,,,,,,
Deposit,2020-06-30,13:24:00,,,,,,,,,6000.0,GBP,,,6000,GBP,,,Transaction ID: 4635935234404682,8899b423-c916-471e-a563-eddb61903212,,,,,,
Market buy,2020-06-30,13:31:08,GOOGL,Alphabet (Class A),1.0,1396.62,USD,1.23097,,GBP,1134.57,GBP,,,,,,,,EOF289215241,,,,,,
Market buy,2020-06-30,13:31:11,EXPE,Expedia,7.0,82.76,USD,1.23091,,GBP,470.64,GBP,,,,,,,,EOF289216554,,,,,,
Market buy,2020-06-30,13:31:36,QCOM,Qualcomm,15.0,89.23,USD,1.23096,,GBP,1087.32,GBP,,,,,,,,EOF289230573,,,,,,
Market buy,2020-06-30,13:32:22,META,Meta Platforms,3.0,219.94,USD,1.23101,,GBP,536.0,GBP,,,,,,,,EOF289255972,,,,,,
Market buy,2020-06-30,13:33:45,FSLY,Fastly,8.0,82.4,USD,1.23137,,GBP,535.33,GBP,,,,,,,,EOF289279890,,,,,,
Market buy,2020-06-30,13:35:03,NET,Cloudflare,18.0,35.43,USD,1.23113,,GBP,518.01,GBP,,,,,,,,EOF289295661,,,,,,
Market buy,2020-06-30,13:36:57,AVGO,Broadcom,4.0,310.46,USD,1.23226,,GBP,1007.77,GBP,,,,,,,,EOF289318595,,,,,,
Deposit,2020-06-30,13:52:17,,,,,,,,,1000.0,GBP,,,1000,GBP,,,,c8b71ddf-7334-4abf-9764-80997da838d5,,,,,,
Dividend (Ordinary),2020-07-01,09:02:28,AVGO,Broadcom,2.0,2.76,USD,Not available,,,4.46,GBP,0.98,USD,,,,,,,,,,,,
Deposit,2020-07-01,12:20:24,,,,,,,,,1000.0,GBP,,,1000,GBP,,,,fc5f30f8-ddb7-4f0c-a7e8-b83e91e4597f,,,,,,
Market buy,2020-07-01,13:30:35,META,Meta Platforms,4.0,228.57,USD,1.24134,,GBP,736.52,GBP,,,,,,,,EOF291610569,,,,,,
Market buy,2020-07-01,13:31:23,AAPL,Apple,2.0,365.09,USD,1.24158,,GBP,588.11,GBP,,,,,,,,EOF291640166,,,,,,
Market buy,2020-07-01,13:31:39,NET,Cloudflare,20.0,36.05,USD,1.24145,,GBP,580.77,GBP,,,,,,,,EOF291650703,,,,,,
