break_id,account_id,business_date,ticker,break_category,internal_value,custodian_value,variance,dollar_exposure,injection_id
0,2,2022-07-29,,CASH_BALANCE_BREAK,-699.26,-701.76,2.5,2.5,1
1,5,2022-07-29,,CASH_BALANCE_BREAK,4451.23,4701.23,-250.0,250.0,4
2,1,2022-05-10,,CASH_BALANCE_BREAK,-1045.54,-2045.54,1000.0,1000.0,0
3,5,2022-06-20,,CASH_BALANCE_BREAK,3501.34,3751.34,-250.0,250.0,4
4,6,2022-06-20,,CASH_BALANCE_BREAK,-1437.52,-1453.02,15.5,15.5,6
5,1,2022-08-08,,CASH_BALANCE_BREAK,-1283.39,-2283.39,1000.0,1000.0,0
6,2,2021-07-12,,CASH_BALANCE_BREAK,-1266.11,-1268.61,2.5,2.5,1
7,5,2022-01-04,,CASH_BALANCE_BREAK,1374.55,1624.55,-250.0,250.0,4
8,5,2022-01-23,,CASH_BALANCE_BREAK,1374.55,1624.55,-250.0,250.0,4
9,5,2023-02-16,,CASH_BALANCE_BREAK,5626.14,5876.14,-250.0,250.0,4
10,6,2023-02-16,,CASH_BALANCE_BREAK,-1823.87,-1839.37,15.5,15.5,6
11,2,2022-05-13,,CASH_BALANCE_BREAK,-267.88,-270.38,2.5,2.5,1
12,1,2022-10-11,,CASH_BALANCE_BREAK,-1358.81,-2358.81,1000.0,1000.0,0
13,1,2021-11-16,,CASH_BALANCE_BREAK,-1058.56,-2058.56,1000.0,1000.0,0
14,1,2021-10-20,,CASH_BALANCE_BREAK,-927.71,-1927.71,1000.0,1000.0,0
15,1,2022-03-31,,CASH_BALANCE_BREAK,-1016.87,-2016.87,1000.0,1000.0,0
16,1,2023-05-10,,CASH_BALANCE_BREAK,-2791.98,-3791.98,1000.0,1000.0,0
17,2,2023-01-22,,CASH_BALANCE_BREAK,-936.56,-939.06,2.5,2.5,1
18,6,2022-02-13,,CASH_BALANCE_BREAK,-635.5,-651.0,15.5,15.5,6
19,2,2022-07-13,,CASH_BALANCE_BREAK,-615.08,-617.58,2.5,2.5,1
20,6,2023-06-13,,CASH_BALANCE_BREAK,-1121.48,-1136.98,15.5,15.5,6
21,1,2022-06-16,,CASH_BALANCE_BREAK,-1284.32,-2284.32,1000.0,1000.0,0
