source_file_id,file_name,source_system,receipt_status,record_count,control_total,expected_date,received_timestamp,validation_status
0,CUST_BAL_20220815.csv,Custodian_Bank,RECEIVED,50,-774.94,2022-08-15,2022-08-15 06:00:00,VALIDATED
1,CUST_BAL_20240323.csv,Custodian_Bank,RECEIVED,50,-660.21,2024-03-23,2024-03-23 06:00:00,VALIDATED
2,CUST_BAL_20210813.csv,Custodian_Bank,RECEIVED,50,-783.49,2021-08-13,2021-08-13 06:00:00,VALIDATED
3,CUST_BAL_20210520.csv,Custodian_Bank,RECEIVED,50,-721.24,2021-05-20,2021-05-20 06:00:00,VALIDATED
4,CUST_BAL_20221228.csv,Custodian_Bank,RECEIVED,50,-792.89,2022-12-28,2022-12-28 06:00:00,VALIDATED
5,CUST_BAL_20220119.csv,Custodian_Bank,RECEIVED,50,-695.87,2022-01-19,2022-01-19 06:00:00,VALIDATED
6,CUST_BAL_20210102.csv,Custodian_Bank,RECEIVED,50,-731.24,2021-01-02,2021-01-02 06:00:00,VALIDATED
7,CUST_BAL_20230611.csv,Custodian_Bank,RECEIVED,50,-736.64,2023-06-11,2023-06-11 06:00:00,VALIDATED
8,CUST_BAL_20231227.csv,Custodian_Bank,RECEIVED,50,-676.26,2023-12-27,2023-12-27 06:00:00,VALIDATED
9,CUST_BAL_20210906.csv,Custodian_Bank,RECEIVED,50,-750.16,2021-09-06,2021-09-06 06:00:00,VALIDATED
10,CUST_BAL_20210110.csv,Custodian_Bank,RECEIVED,50,-665.94,2021-01-10,2021-01-10 06:00:00,VALIDATED
11,CUST_BAL_20200805.csv,Custodian_Bank,RECEIVED,50,17.58,2020-08-05,2020-08-05 06:00:00,VALIDATED
12,CUST_BAL_20230721.csv,Custodian_Bank,RECEIVED,50,-755.94,2023-07-21,2023-07-21 06:00:00,VALIDATED
13,CUST_BAL_20210331.csv,Custodian_Bank,RECEIVED,50,-748.21,2021-03-31,2021-03-31 06:00:00,VALIDATED
14,CUST_BAL_20240504.csv,Custodian_Bank,RECEIVED,50,-572.75,2024-05-04,2024-05-04 06:00:00,VALIDATED
15,CUST_BAL_20240530.csv,Custodian_Bank,RECEIVED,50,-199.98,2024-05-30,2024-05-30 06:00:00,VALIDATED
16,CUST_BAL_20200517.csv,Custodian_Bank,RECEIVED,50,206.79,2020-05-17,2020-05-17 06:00:00,VALIDATED
17,CUST_BAL_20221017.csv,Custodian_Bank,RECEIVED,50,-765.63,2022-10-17,2022-10-17 06:00:00,VALIDATED
18,CUST_BAL_20220420.csv,Custodian_Bank,RECEIVED,50,-729.67,2022-04-20,2022-04-20 06:00:00,VALIDATED
19,CUST_BAL_20210420.csv,Custodian_Bank,RECEIVED,50,-709.76,2021-04-20,2021-04-20 06:00:00,VALIDATED
20,CUST_BAL_20211108.csv,Custodian_Bank,RECEIVED,50,-788.87,2021-11-08,2021-11-08 06:00:00,VALIDATED
21,CUST_BAL_20211027.csv,Custodian_Bank,RECEIVED,50,-730.86,2021-10-27,2021-10-27 06:00:00,VALIDATED
22,CUST_BAL_20201022.csv,Custodian_Bank,RECEIVED,50,134.77,2020-10-22,2020-10-22 06:00:00,VALIDATED
23,CUST_BAL_20220918.csv,Custodian_Bank,RECEIVED,50,-751.25,2022-09-18,2022-09-18 06:00:00,VALIDATED
24,CUST_BAL_20200501.csv,Custodian_Bank,RECEIVED,50,493.04,2020-05-01,2020-05-01 06:00:00,VALIDATED
25,CUST_BAL_20240225.csv,Custodian_Bank,RECEIVED,50,-663.51,2024-02-25,2024-02-25 06:00:00,VALIDATED
26,CUST_BAL_20211019.csv,Custodian_Bank,RECEIVED,50,-778.88,2021-10-19,2021-10-19 06:00:00,VALIDATED
27,CUST_BAL_20210128.csv,Custodian_Bank,RECEIVED,50,-674.45,2021-01-28,2021-01-28 06:00:00,VALIDATED
28,CUST_BAL_20220905.csv,Custodian_Bank,RECEIVED,50,-712.66,2022-09-05,2022-09-05 06:00:00,VALIDATED
29,CUST_BAL_20230717.csv,Custodian_Bank,RECEIVED,50,-745.24,2023-07-17,2023-07-17 06:00:00,VALIDATED
